Cu,Day,CC
Cu1,0,1821244.255
Cu1,0,2212571.429
Cu1,0,1088396.839
Cu10,0,2234222.222
Cu10,0,1122977.778
Cu10,0,469333.3333
Cu100,0,1320713.514
Cu100,0,915675.6757
Cu100,0,331070.2703
Cu1,3,2640974.927
Cu1,3,2003449.563
Cu1,3,2776493.48
Cu10,3,1104643.094
Cu10,3,897672.9282
Cu10,3,1584632.044
Cu100,3,1535797.015
Cu100,3,3174654.726
Cu100,3,277035.8209
Cu1,6,2314953.864
Cu1,6,3079747.541
Cu1,6,1788561.358
Cu10,6,4412823.204
Cu10,6,16687292.82
Cu10,6,4246364.641
Cu100,6,1715039.552
Cu100,6,872644.7761
Cu100,6,2402301.493
Cu1,9,2397380.069
Cu1,9,1744728.522
Cu1,9,3043046.048
Cu10,9,6083939.024
Cu10,9,5366054.878
Cu10,9,11841768.29
Cu100,9,2372315.84
Cu100,9,4879717.557
Cu100,9,5711015.267
Cu1,12,3223415.521
Cu1,12,5908288.288
Cu1,12,7242558.559
Cu10,12,2749247.368
Cu10,12,4646400
Cu10,12,7034133.333
Cu100,12,6727716.346
Cu100,12,2896582.933
Cu100,12,4287937.5
Cu1,17,9954352.941
Cu1,17,6663411.765
Cu1,17,9718823.529
Cu10,17,14395485.48
Cu10,17,8157709.544
Cu10,17,10932174.27
Cu100,17,15651555.56
Cu100,17,12967111.11
Cu100,17,4817185.185
Cu1,22,3377090.164
Cu1,22,6702502.157
Cu1,22,11953213.11
Cu10,22,26013094.49
Cu10,22,13733976.38
Cu10,22,13736834.65
Cu100,22,5803493.482
Cu100,22,5610614.525
Cu100,22,7527687.151
Cu1,32,10968413.41
Cu1,32,14451050.28
Cu1,32,12621854.75
Cu10,32,27779052.63
Cu10,32,39848120.3
Cu10,32,16108466.17
Cu100,32,2233145.009
Cu100,32,1877209.04
Cu100,32,2126728.814
Cu1,41,21420212.39
Cu1,41,30631203.54
Cu1,41,52426880
Cu10,41,19499433.59
Cu10,41,21260078.13
Cu10,41,22545703.13
Cu100,41,2704177.143
Cu100,41,3913485.714
Cu100,41,5265920
Cu1,49,30934500
Cu1,49,26860125
Cu1,49,46524750
Cu10,49,15272560.98
Cu10,49,31601658.54
Cu10,49,17627634.15
Cu100,49,3718127.168
Cu100,49,4941416.185
Cu100,49,6230800.578
